"1" "2" "3" "4"
"A" "2" "3" "1" "4"
"C" "2" "1" "3" "4"
"G" "3" "2" "4" "1"
"H" "4" "2" "1" "3"
"I" "1" "3" "4" "2"
"L" "3" "1" "4" "2"
"S" "2" "4" "3" "1"
"V" "3" "1" "2" "4"
"freqAR" "4" "3" "1" "2"
"freqPR" "4" "2" "1" "3"
"freqAlR" "3" "1" "4" "2"
"freqCR" "4" "1" "2" "3"
"freqPosR" "4" "1" "2" "3"
"freqHR" "3" "1" "2" "4"
